,assists,goals,h_a,id,key_passes,match_id,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card
5448,0,0,h,372755,0,11841,0,Craig Cathcart,581,DC,3,0,372763,0,0,90,88,0,0,0.08943913131952286,0.08943913131952286,0
5449,0,0,h,372756,0,11841,0,Kiko Femenía,5043,DL,4,0,0,0,0,90,90,0,0,0.24263285100460052,0.24263285100460052,0
5450,1,0,h,372757,2,11841,0,Etienne Capoue,572,DMC,7,0,0,0,1,90,90,0.5307586193084717,0.012138559482991695,0.17034274339675903,0.6429803371429443,1
5451,0,0,h,372758,0,11841,0,Will Hughes,6104,DMC,7,0,372764,0,2,90,49,0,0.0446617491543293,0.08239816129207611,0.1270599067211151,0
5452,0,1,h,372759,1,11841,0,Ismaila Sarr,5675,AMR,11,0,0,0,5,90,90,0.05551290139555931,0.6243996024131775,0.17682351171970367,0.7977643609046936,1
5453,0,0,h,372760,0,11841,0,Abdoulaye Doucouré,1726,AMC,12,0,0,0,3,90,90,0,0.12010230869054794,0.1078803762793541,0.21330590546131134,0
5454,0,0,h,372761,6,11841,0,Gerard Deulofeu,591,AML,13,0,0,0,0,90,90,0.3063313364982605,0,0.11852438747882843,0.3327679932117462,0
5455,0,2,h,372762,3,11841,0,Troy Deeney,574,FW,15,0,0,0,5,90,90,0.46656838059425354,1.8350554704666138,0.6223977208137512,1.6977852582931519,1
5456,0,0,h,372765,0,11841,0,Craig Dawson,804,Sub,17,0,0,372764,0,90,27,0,0,0,0,0
5457,0,0,h,372763,0,11841,0,Adam Masina,1441,Sub,17,0,0,372755,0,90,2,0,0,0,0,0
5458,0,0,h,372764,0,11841,0,Nathaniel Chalobah,1677,Sub,17,0,372765,372758,2,90,14,0,0.1627662628889084,0,0.1627662628889084,0
5459,0,0,a,372766,0,11841,0,Tom Heaton,1651,GK,1,0,0,0,0,71,90,0,0,0,0,0
5460,0,0,a,372767,1,11841,0,Ahmed Elmohamady,1685,DR,2,0,0,0,0,71,90,0.019174233078956604,0,0.054169707000255585,0.054169707000255585,0
5461,0,0,a,372768,0,11841,0,Kortney Hause,6859,DC,3,0,0,0,0,71,90,0,0,0,0,0
5462,0,0,a,372769,0,11841,0,Ezri Konsa Ngoyo,7726,DC,3,0,0,0,1,71,90,0,0.01198161393404007,0.019174233078956604,0.019174233078956604,0
5463,0,0,a,372770,0,11841,0,Matt Targett,884,DL,4,0,372777,0,0,71,69,0,0,0,0,0
5464,0,0,a,372771,1,11841,0,Douglas Luiz,6122,DMC,7,0,0,0,1,71,90,0.03499547392129898,0.019174233078956604,0,0.054169707000255585,0
5465,0,0,a,372772,3,11841,0,Conor Hourihane,7721,DMC,7,0,0,0,1,71,90,0.4122612178325653,0.012615086510777473,0.08275961130857468,0.49565431475639343,0
